4.7	3.5	0.5919	3.5	0.5919	3.5	0.5919	1.2163	0.2057	1.2163	0.2057	1.2163	0.2057
4.8	3.5	0.5919	3.5	0.5919	3.5	0.5919	1.1883	0.20095	1.1883	0.20095	1.1883	0.20095
4.9	3.5	0.5919	3.5	0.5919	3.5	0.5919	1.1615	0.19642	1.1615	0.19642	1.1615	0.19642
5	3.5	0.5919	3.5	0.5919	3.5	0.5919	1.1359	0.19209	1.1359	0.19209	1.1359	0.19209
5.1	3.5	0.5919	3.5	0.5919	3.5	0.5919	0.21561	0.036462	0.21561	0.036462	0.21561	0.036462
5.2	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.3	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.4	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.5	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.6	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.7	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.8	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
5.9	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
6	3.5	0.5919	3.5	0.5919	3.5	0.5919	0	0	0	0	0	0
6.1	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.2	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.3	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.4	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.5	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.6	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.7	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.8	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
6.9	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.1	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.2	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.3	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.4	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.5	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.6	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.7	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.8	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
7.9	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.1	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.2	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.3	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.4	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.5	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.6	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.7	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.8	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
8.9	7.0001	1.1838	7.0001	1.1838	7.0001	1.1838	0	0	0	0	0	0
